Plant_ID,Date,Temperature (Â°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
19,9/10/2023,31.1,64,588,6.2,39
58,8/15/2023,23.6,53,581,6.5,13
18,9/5/2023,32.0,60,730,6.5,34
56,8/7/2023,24.2,54,420,6.8,5
56,9/10/2023,23.6,71,569,6.2,39
50,8/26/2023,31.4,58,447,6.3,24
20,9/3/2023,31.7,54,748,6.4,32
68,8/26/2023,22.9,58,702,6.5,24
24,8/11/2023,30.2,70,766,6.0,9
14,9/14/2023,29.1,61,764,6.4,43
45,8/20/2023,30.9,73,675,6.5,18
43,9/10/2023,31.1,55,403,6.4,39
36,9/13/2023,30.4,74,733,6.7,42
52,8/19/2023,21.0,72,754,6.8,17
26,8/12/2023,30.2,50,628,6.5,10
59,8/6/2023,19.5,74,571,6.1,4
24,8/29/2023,29.1,68,748,6.6,27
5,9/8/2023,29.8,65,645,6.3,37
12,9/10/2023,31.1,73,435,6.3,39
30,9/16/2023,31.5,55,628,6.3,45
51,8/12/2023,30.2,80,497,6.4,10
47,8/24/2023,31.3,56,736,6.1,22
52,9/4/2023,21.0,67,619,6.4,33
65,8/10/2023,22.7,55,711,6.5,8
35,9/2/2023,31.7,65,473,6.8,31
63,9/10/2023,21.6,77,677,6.8,39
41,8/23/2023,30.8,53,548,6.1,21
55,8/5/2023,22.9,80,451,6.5,3
18,8/3/2023,33.4,78,623,6.2,1
59,9/1/2023,19.1,50,490,6.5,30
6,9/14/2023,29.1,68,789,6.2,43
12,8/19/2023,30.8,62,742,6.7,17
12,8/20/2023,30.9,70,628,6.7,18
38,9/4/2023,31.7,65,527,6.6,33
58,9/3/2023,21.0,58,641,6.6,32
24,8/9/2023,22.7,64,683,6.2,7
8,8/31/2023,29.2,55,483,6.4,29
23,9/8/2023,29.8,64,640,6.6,37
48,9/6/2023,32.1,71,556,6.1,35
55,8/12/2023,20.7,53,597,6.6,10
15,8/14/2023,30.1,55,770,6.1,12
34,8/8/2023,32.3,63,434,6.3,6
61,8/26/2023,23.4,54,522,6.6,24
64,8/18/2023,22.3,60,433,6.2,16
49,9/9/2023,20.1,57,781,6.2,38
27,8/17/2023,29.6,56,676,6.6,15
45,8/29/2023,28.7,63,517,6.3,27
4,9/3/2023,31.7,69,546,6.3,32
59,8/25/2023,20.9,75,434,6.7,23
50,8/6/2023,33.4,61,578,6.1,4
19,9/8/2023,29.8,53,553,6.6,37
38,9/1/2023,31.7,58,474,6.7,30
55,9/8/2023,19.6,66,458,6.5,37
56,8/11/2023,24.8,50,683,6.0,9
35,9/13/2023,30.4,70,627,6.8,42
23,8/5/2023,33.4,76,473,6.2,3
31,9/3/2023,31.7,60,628,6.1,32
62,8/18/2023,20.8,56,436,6.7,16
5,9/6/2023,32.1,72,605,6.2,35
9,8/3/2023,33.4,72,693,6.4,1
59,9/16/2023,19.3,74,422,6.2,45
66,9/16/2023,20.0,55,648,6.5,45
54,8/17/2023,19.4,75,452,6.0,15
66,8/16/2023,18.9,66,494,6.6,14
52,8/13/2023,21.2,51,520,6.4,11
8,9/1/2023,31.7,61,775,6.6,30
48,8/31/2023,29.2,60,569,6.7,29
36,8/9/2023,32.3,76,748,6.8,7
23,8/24/2023,31.3,72,737,6.8,22
11,9/4/2023,31.7,76,452,6.3,33
67,9/10/2023,21.1,73,702,6.2,39
56,8/19/2023,22.3,69,457,6.5,17
11,9/12/2023,31.2,66,402,6.6,41
62,8/26/2023,23.3,62,771,6.5,24
5,8/28/2023,29.4,67,470,6.4,26
25,8/21/2023,30.2,69,719,6.4,19
68,8/5/2023,18.1,75,655,6.5,3
15,8/13/2023,30.1,77,509,6.0,11
5,9/14/2023,29.1,58,576,6.2,43
8,9/15/2023,30.6,50,632,6.2,44
22,8/25/2023,31.4,68,609,6.1,23
7,8/4/2023,33.5,78,598,6.3,2
47,9/3/2023,31.7,75,409,6.2,32
42,8/14/2023,30.1,58,594,6.2,12
50,9/7/2023,31.5,63,798,6.2,36
24,9/9/2023,31.1,71,756,6.1,38
39,8/21/2023,30.2,52,462,6.5,19
9,9/12/2023,31.2,80,793,6.6,41
54,9/4/2023,19.4,77,486,6.3,33
24,8/8/2023,32.3,50,782,6.5,6
55,8/31/2023,18.5,54,596,6.0,29
20,8/6/2023,33.4,66,729,6.7,4
33,8/28/2023,29.4,50,624,6.0,26
57,8/11/2023,18.2,65,798,6.4,9
40,8/22/2023,30.5,56,732,6.8,20
1,8/10/2023,22.7,63,576,6.3,8
62,8/9/2023,19.0,72,751,6.2,7
57,9/12/2023,21.2,56,595,6.3,41
58,8/9/2023,19.5,63,704,6.7,7
10,8/5/2023,33.4,76,679,6.1,3
54,9/13/2023,18.6,57,443,6.3,42
28,9/16/2023,31.5,74,418,6.5,45
25,9/4/2023,31.7,60,551,6.3,33
20,8/24/2023,31.3,77,405,6.4,22
5,8/17/2023,29.6,65,525,6.3,15
25,8/8/2023,32.3,75,603,6.4,6
28,9/8/2023,29.8,74,434,6.2,37
7,8/11/2023,31.9,68,763,6.5,9
6,8/4/2023,33.5,77,738,6.5,2
55,9/4/2023,19.8,63,795,6.7,33
25,8/5/2023,33.4,77,558,6.5,3
3,8/9/2023,32.3,80,691,6.2,7
43,8/15/2023,30.1,56,408,6.4,13
60,9/16/2023,23.5,73,507,6.2,45
35,8/26/2023,31.4,57,466,6.4,24
20,8/4/2023,33.5,73,597,6.7,2
58,8/5/2023,20.5,50,471,6.6,3
63,8/29/2023,19.2,53,767,6.6,27
67,9/9/2023,24.6,76,657,6.2,38
63,9/15/2023,23.5,53,560,6.6,44
35,9/14/2023,29.1,53,757,6.1,43
35,8/14/2023,30.1,69,796,6.7,12
3,8/17/2023,29.6,53,671,6.6,15
53,8/13/2023,19.4,57,583,6.3,11
26,9/14/2023,29.1,71,734,6.4,43
17,9/2/2023,31.7,65,406,6.1,31
37,9/15/2023,30.6,80,659,6.7,44
63,8/14/2023,23.5,67,518,6.6,12
51,9/15/2023,30.6,69,740,6.4,44
60,8/6/2023,23.6,79,574,6.4,4
58,8/16/2023,24.6,58,494,6.0,14
17,8/16/2023,29.8,58,543,6.2,14
5,9/13/2023,30.4,60,529,6.1,42
31,9/5/2023,32.0,66,411,6.7,34
57,9/16/2023,21.6,59,773,6.1,45
19,8/22/2023,30.5,77,745,6.2,20
69,9/12/2023,22.5,51,688,6.7,41
67,8/19/2023,18.9,69,729,6.4,17
40,8/20/2023,30.9,57,769,6.6,18
66,9/8/2023,18.3,50,670,6.2,37
18,9/3/2023,31.7,64,740,6.1,32
26,8/17/2023,29.6,71,773,6.2,15
39,8/12/2023,30.2,71,769,6.6,10
18,9/13/2023,30.4,59,501,6.0,42
27,9/12/2023,31.2,71,539,6.5,41
57,8/19/2023,20.0,80,423,6.5,17
32,9/13/2023,30.4,78,465,6.6,42
70,8/4/2023,23.8,77,617,6.7,2
40,9/6/2023,32.1,56,518,6.1,35
11,8/9/2023,32.3,69,529,6.3,7
50,9/12/2023,31.2,54,690,6.3,41
22,9/6/2023,32.1,67,473,6.7,35
35,8/17/2023,29.6,55,754,6.4,15
32,9/7/2023,31.5,67,586,6.2,36
28,8/11/2023,31.9,74,511,6.4,9
32,8/19/2023,30.8,60,738,6.1,17
47,8/28/2023,29.4,51,647,6.6,26
24,9/3/2023,31.7,76,465,6.6,32
5,8/30/2023,29.1,75,516,6.5,28
1,8/15/2023,30.1,78,480,6.0,13
68,9/6/2023,19.5,77,468,6.6,35
10,8/12/2023,30.2,60,800,6.7,10
51,8/9/2023,32.3,65,543,6.3,7
42,8/28/2023,29.4,60,710,6.2,26
32,9/12/2023,31.2,67,768,6.7,41
33,8/26/2023,31.4,80,600,6.6,24
17,8/13/2023,30.1,51,798,6.5,11
62,8/31/2023,18.9,68,585,6.1,29
51,9/7/2023,31.5,72,577,6.6,36
35,8/15/2023,30.1,56,495,6.5,13
44,8/7/2023,33.4,59,768,6.8,5
32,9/16/2023,31.5,78,695,6.4,45
70,8/13/2023,20.0,50,556,6.5,11
12,8/7/2023,33.4,71,640,6.3,5
15,8/7/2023,33.4,73,767,6.4,5
14,8/5/2023,33.4,59,498,6.3,3
67,8/16/2023,20.3,58,572,6.3,14
62,9/13/2023,20.4,66,690,6.7,42
49,8/24/2023,31.3,80,588,6.0,22
68,8/13/2023,20.8,54,760,6.0,11
62,9/4/2023,24.3,51,454,6.1,33
12,8/16/2023,29.8,78,710,6.6,14
31,8/16/2023,29.8,58,521,6.2,14
28,8/17/2023,29.6,65,571,6.7,15
13,8/26/2023,31.4,73,626,6.5,24
69,8/18/2023,24.8,53,496,6.6,16
64,8/31/2023,21.2,62,607,6.7,29
35,8/24/2023,31.3,76,411,6.3,22
47,9/11/2023,31.2,72,725,6.5,40
35,9/8/2023,29.8,75,544,6.7,37
50,8/13/2023,30.1,77,798,6.7,11
36,8/26/2023,31.4,77,602,6.8,24
3,9/5/2023,32.0,72,741,6.8,34
30,8/12/2023,30.2,60,449,6.4,10
47,8/11/2023,31.9,79,473,6.3,9
5,9/7/2023,31.5,70,768,6.8,36
18,9/15/2023,30.6,51,491,6.5,44
68,9/10/2023,18.2,58,736,6.4,39
8,9/8/2023,29.8,75,484,6.2,37
26,8/23/2023,30.8,57,409,6.6,21
62,9/1/2023,18.5,53,427,6.3,30
45,8/26/2023,31.4,69,663,6.6,24
41,8/11/2023,31.9,62,603,6.6,9
38,9/16/2023,31.5,67,742,6.7,45
6,9/1/2023,31.7,77,512,6.5,30
65,9/4/2023,22.1,61,538,6.1,33
54,9/2/2023,20.8,53,574,6.0,31
67,8/11/2023,18.9,58,656,6.7,9
56,9/11/2023,23.6,52,693,6.5,40
63,8/15/2023,21.6,74,798,6.2,13
63,9/5/2023,22.1,51,578,6.5,34
59,9/3/2023,24.8,69,611,6.0,32
46,9/12/2023,31.2,80,795,6.3,41
57,9/10/2023,23.6,50,672,6.8,39
67,8/29/2023,23.9,61,543,6.2,27
64,8/22/2023,18.6,57,552,6.1,20
55,8/22/2023,24.7,56,701,6.7,20
10,9/15/2023,30.6,78,578,6.3,44
11,8/7/2023,33.4,55,431,6.2,5
53,8/7/2023,18.4,57,767,6.0,5
45,8/30/2023,29.1,50,432,6.2,28
38,8/17/2023,29.6,72,590,6.6,15
32,8/28/2023,29.4,54,655,6.3,26
9,8/17/2023,29.6,63,613,6.7,15
66,8/17/2023,23.2,57,440,6.3,15
48,8/7/2023,33.4,63,723,6.4,5
41,9/9/2023,20.1,63,402,6.1,38
19,9/15/2023,30.6,73,536,6.5,44
53,8/20/2023,20.3,72,660,6.8,18
23,8/19/2023,30.8,71,697,6.7,17
51,8/5/2023,33.4,59,705,6.0,3
47,9/7/2023,31.5,80,653,6.0,36
2,8/17/2023,29.6,50,487,6.7,15
41,8/13/2023,30.1,80,640,6.2,11
64,8/25/2023,20.8,80,634,6.7,23
65,9/1/2023,21.8,51,717,6.5,30
70,9/17/2023,22.6,69,521,6.5,46
44,8/13/2023,30.1,61,799,6.1,11
56,8/9/2023,23.8,65,538,6.5,7
54,8/29/2023,19.0,59,677,6.5,27
23,9/12/2023,31.2,53,515,6.0,41
15,8/20/2023,30.9,53,513,6.5,18
54,8/27/2023,19.6,75,651,6.7,25
19,8/27/2023,30.1,68,606,6.0,25
12,9/9/2023,20.1,58,752,6.2,38
56,9/6/2023,22.8,79,503,6.4,35
32,8/18/2023,30.9,71,714,6.5,16
64,9/13/2023,18.2,73,471,6.6,42
50,8/31/2023,29.2,72,455,6.2,29
41,9/4/2023,31.7,52,472,6.0,33
21,9/6/2023,32.1,62,538,6.2,35
57,8/27/2023,22.0,78,702,6.1,25
60,9/7/2023,20.9,77,568,6.7,36
51,9/14/2023,29.1,55,482,6.5,43
46,9/1/2023,31.7,55,472,6.6,30
68,8/27/2023,23.6,57,629,6.1,25
43,8/13/2023,30.1,68,579,6.2,11
53,8/27/2023,22.3,79,445,6.8,25
57,8/26/2023,23.3,60,690,6.5,24
44,9/4/2023,31.7,72,786,6.0,33
24,8/31/2023,31.7,75,634,6.6,29
10,8/25/2023,31.4,79,725,6.2,23
23,9/3/2023,31.7,66,538,6.3,32
6,8/10/2023,22.7,74,740,6.6,8
45,9/13/2023,30.4,51,470,6.6,42
25,9/13/2023,30.4,73,514,6.0,42
3,8/22/2023,30.5,80,726,6.6,20
46,9/15/2023,30.6,63,550,6.4,44
18,8/8/2023,32.3,58,556,6.5,6
49,8/8/2023,32.3,53,793,6.4,6
4,8/29/2023,28.7,73,558,6.5,27
7,8/16/2023,29.8,53,778,6.1,14
53,8/21/2023,23.8,65,455,6.8,19
6,8/25/2023,31.4,73,614,6.7,23
52,9/1/2023,23.7,59,746,6.5,30
61,8/28/2023,19.8,51,653,6.6,26
40,8/12/2023,30.2,66,494,6.4,10
17,9/8/2023,29.8,78,732,6.5,37
18,8/14/2023,30.1,67,769,6.4,12
33,8/13/2023,30.1,70,424,6.8,11
49,9/10/2023,31.1,77,714,6.0,39
29,8/20/2023,30.9,75,478,6.5,18
47,9/1/2023,31.7,66,676,6.5,30
25,9/3/2023,31.7,75,414,6.5,32
35,9/6/2023,32.1,63,696,6.7,35
55,8/30/2023,20.8,59,447,6.3,28
46,8/29/2023,28.7,58,404,6.2,27
24,8/3/2023,33.5,76,534,6.3,1
45,9/10/2023,31.1,64,578,6.0,39
58,9/16/2023,23.3,50,704,6.3,45
19,8/29/2023,28.7,76,498,6.2,27
23,9/5/2023,32.0,71,560,6.7,34
57,8/4/2023,20.6,65,732,6.6,2
11,8/6/2023,33.4,50,734,6.4,4
23,8/13/2023,30.1,55,631,6.4,11
36,9/11/2023,31.2,65,722,6.1,40
4,8/23/2023,30.8,58,735,6.4,21
18,8/29/2023,28.7,59,699,6.8,27
64,9/2/2023,24.2,80,688,6.5,31
41,8/20/2023,30.9,50,792,6.7,18
15,9/9/2023,20.1,50,556,6.0,38
42,9/13/2023,30.4,62,506,6.5,42
23,9/13/2023,30.4,69,665,6.4,42
6,8/11/2023,31.9,73,760,6.3,9
34,8/23/2023,30.8,58,654,6.1,21
28,8/13/2023,30.1,64,669,6.2,11
6,8/16/2023,29.8,78,755,6.8,14
3,8/13/2023,30.1,55,745,6.1,11
7,9/12/2023,31.2,52,468,6.7,41
69,8/5/2023,22.0,55,631,6.0,3
60,9/13/2023,25.0,79,693,6.2,42
65,8/21/2023,18.4,63,564,6.4,19
40,9/3/2023,31.7,51,631,6.8,32
32,8/22/2023,30.5,78,641,6.4,20
6,9/3/2023,31.7,53,757,6.5,32
55,9/16/2023,23.0,53,670,6.6,45
46,9/13/2023,30.4,77,417,6.7,42
5,8/13/2023,30.1,79,429,6.2,11
45,8/15/2023,30.1,58,553,6.5,13
35,9/16/2023,31.5,78,469,6.2,45
44,8/16/2023,29.8,77,688,6.2,14
4,9/14/2023,29.1,62,530,6.8,43
19,8/16/2023,29.8,72,599,6.7,14
19,8/24/2023,31.3,69,637,6.7,22
62,8/24/2023,22.5,56,737,6.5,22
50,8/27/2023,30.1,63,702,6.2,25
53,9/5/2023,23.9,79,785,6.4,34
8,8/21/2023,30.2,79,742,6.7,19
27,8/16/2023,29.8,64,785,6.5,14
30,8/8/2023,32.3,57,620,6.2,6
17,8/20/2023,30.9,80,716,6.7,18
28,8/7/2023,33.4,68,598,6.1,5
15,8/25/2023,31.4,55,539,6.8,23
11,8/25/2023,31.4,75,539,6.5,23
18,8/30/2023,29.1,70,637,6.4,28
51,8/7/2023,33.4,68,594,6.2,5
24,8/20/2023,30.2,65,749,6.6,18
54,8/14/2023,19.8,66,465,6.4,12
57,9/11/2023,22.4,59,683,6.8,40
12,9/16/2023,31.5,72,735,6.0,45
33,9/11/2023,31.2,69,483,6.1,40
18,8/10/2023,22.7,53,653,6.0,8
64,8/14/2023,24.5,66,618,6.1,12
47,8/8/2023,32.3,76,564,6.2,6
17,8/14/2023,30.1,55,737,6.6,12
57,8/20/2023,24.5,72,627,6.1,18
36,8/30/2023,29.1,68,424,6.7,28
52,8/16/2023,18.4,78,710,6.3,14
22,8/12/2023,30.2,75,771,6.4,10
33,9/14/2023,29.1,78,642,6.7,43
23,9/7/2023,31.5,69,518,6.6,36
47,8/20/2023,30.9,70,651,6.0,18
23,8/12/2023,30.2,78,761,6.7,10
50,9/3/2023,31.7,54,450,6.0,32
49,8/15/2023,30.1,73,718,6.1,13
6,8/20/2023,30.9,56,568,6.2,18
20,8/8/2023,32.3,76,529,6.2,6
47,9/10/2023,31.1,57,716,6.2,39
52,8/29/2023,19.2,51,692,6.6,27
69,8/7/2023,21.0,64,531,6.3,5
64,8/26/2023,18.2,78,772,6.1,24
14,9/3/2023,31.7,63,710,6.3,32
8,8/28/2023,29.4,54,559,6.2,26
7,8/6/2023,33.4,58,583,6.1,4
45,8/24/2023,31.3,62,545,6.4,22
54,8/22/2023,18.2,54,550,6.1,20
15,8/18/2023,30.9,58,587,6.5,16
31,8/15/2023,30.1,57,554,6.1,13
22,8/26/2023,31.4,58,681,6.3,24
49,9/14/2023,29.1,79,417,6.8,43
20,9/13/2023,30.4,72,518,6.1,42
62,8/16/2023,20.3,52,797,6.6,14
61,8/21/2023,23.0,71,537,6.2,19
26,8/15/2023,30.1,54,607,6.8,13
21,8/3/2023,33.4,54,530,6.1,1
49,8/14/2023,30.1,68,488,6.3,12
14,9/9/2023,20.1,64,590,6.4,38
25,8/27/2023,30.1,57,448,6.1,25
10,9/4/2023,31.7,69,649,6.4,33
14,8/25/2023,31.4,65,645,6.3,23
50,8/18/2023,30.9,76,434,6.3,16
27,9/1/2023,31.7,55,660,6.4,30
27,8/27/2023,30.1,55,651,6.6,25
65,8/5/2023,24.3,70,580,6.7,3
40,8/7/2023,33.4,72,628,6.1,5
19,8/26/2023,31.4,78,576,6.5,24
60,8/30/2023,23.8,73,489,6.1,28
12,9/14/2023,29.1,51,423,6.5,43
45,8/14/2023,30.1,50,597,6.3,12
18,9/7/2023,31.5,75,493,6.2,36
24,8/27/2023,29.4,74,513,6.3,25
32,8/9/2023,32.3,57,557,6.2,7
8,9/3/2023,31.7,76,438,6.5,32
14,8/21/2023,30.2,66,409,6.4,19
24,8/17/2023,30.9,78,719,6.6,15
56,9/8/2023,18.5,75,777,6.1,37
44,9/3/2023,31.7,60,713,6.7,32
2,8/15/2023,30.1,75,646,6.3,13
33,9/3/2023,31.7,65,459,6.0,32
32,9/15/2023,30.6,73,517,6.8,44
59,8/7/2023,24.5,74,756,6.1,5
59,8/30/2023,23.8,53,688,6.1,28
43,9/15/2023,30.6,53,450,6.5,44
70,9/3/2023,21.4,62,467,6.6,32
44,9/8/2023,29.8,74,780,6.3,37
63,8/13/2023,20.9,53,463,6.4,11
30,8/16/2023,29.8,57,495,6.3,14
28,8/15/2023,30.1,56,421,6.6,13
13,8/13/2023,30.1,77,696,6.1,11
16,8/25/2023,31.4,68,682,6.2,23
24,8/13/2023,30.1,54,582,6.1,11
10,8/14/2023,30.1,62,552,6.8,12
15,8/10/2023,22.7,58,724,6.5,8
43,8/8/2023,32.3,80,654,6.3,6
45,9/11/2023,31.2,50,605,6.0,40
48,8/6/2023,33.4,70,571,6.0,4
25,8/13/2023,30.1,64,503,6.7,11
23,8/7/2023,33.4,61,627,6.4,5
14,8/28/2023,29.4,65,573,6.2,26
37,9/6/2023,32.1,76,536,6.8,35
13,8/6/2023,33.4,63,583,6.5,4
63,8/12/2023,19.5,78,732,6.2,10
35,9/10/2023,31.1,79,642,6.0,39
22,9/14/2023,29.1,60,492,6.7,43
44,8/4/2023,33.5,59,601,6.5,2
44,8/5/2023,33.4,74,510,6.4,3
65,8/7/2023,21.1,50,462,6.0,5
70,9/2/2023,22.7,65,566,6.3,31
53,8/31/2023,19.1,50,715,6.1,29
10,8/30/2023,29.1,59,704,6.5,28
12,8/6/2023,33.4,60,732,6.1,4
13,9/11/2023,31.2,71,589,6.7,40
49,8/25/2023,31.4,62,603,6.1,23
15,8/12/2023,30.2,54,743,6.1,10
37,9/11/2023,31.2,75,753,6.6,40
64,8/21/2023,23.2,74,616,6.2,19
30,8/20/2023,30.9,61,781,6.8,18
30,9/7/2023,31.5,74,457,6.3,36
42,8/13/2023,30.1,66,507,6.2,11
14,9/7/2023,31.5,57,642,6.4,36
32,8/17/2023,29.6,51,796,6.3,15
11,8/27/2023,30.1,76,489,6.3,25
39,9/14/2023,29.1,55,681,6.2,43
60,9/10/2023,20.5,62,660,6.6,39
28,8/10/2023,22.7,56,498,6.2,8
49,9/11/2023,31.2,70,758,6.6,40
46,8/24/2023,31.3,80,562,6.4,22
39,8/29/2023,28.7,68,480,6.8,27
19,9/7/2023,31.5,61,680,6.2,36
12,8/28/2023,29.4,63,682,6.5,26
65,9/7/2023,21.7,61,711,6.8,36
2,8/7/2023,33.4,50,488,6.4,5
19,9/9/2023,20.1,68,611,6.2,38
24,8/28/2023,28.7,77,718,6.2,26
16,9/6/2023,32.1,65,627,6.2,35
54,9/1/2023,19.4,50,555,6.5,30
40,8/27/2023,30.1,67,467,6.3,25
53,9/2/2023,24.7,53,534,6.2,31
33,8/19/2023,30.8,77,719,6.2,17
37,8/27/2023,30.1,71,743,6.6,25
50,9/11/2023,31.2,80,566,6.2,40
42,9/4/2023,31.7,57,632,6.8,33
53,8/16/2023,20.0,52,483,6.7,14
33,8/6/2023,33.4,75,604,6.4,4
31,9/12/2023,31.2,67,621,6.7,41
32,8/7/2023,33.4,78,688,6.8,5
67,8/9/2023,23.8,51,745,6.6,7
51,8/10/2023,22.7,68,683,6.3,8
62,8/21/2023,23.9,55,525,6.8,19
37,9/14/2023,29.1,50,476,6.5,43
7,8/25/2023,31.4,77,617,6.5,23
30,8/30/2023,29.1,53,692,6.3,28
30,9/5/2023,32.0,60,470,6.1,34
22,8/5/2023,33.4,50,602,6.0,3
30,8/24/2023,31.3,78,795,6.7,22
31,8/5/2023,33.4,70,555,6.1,3
39,8/10/2023,22.7,51,466,6.7,8
8,8/30/2023,29.1,72,630,6.4,28
32,8/3/2023,33.4,67,414,6.1,1
15,8/6/2023,33.4,63,782,6.7,4
29,8/14/2023,30.1,58,789,6.8,12
45,8/19/2023,30.8,50,705,6.2,17
15,9/1/2023,31.7,51,725,6.2,30
51,9/16/2023,31.5,72,575,6.2,45
40,8/16/2023,29.8,59,404,6.7,14
43,8/23/2023,30.8,72,447,6.7,21
68,9/2/2023,21.6,62,606,6.1,31
56,8/24/2023,22.7,53,432,6.2,22
35,9/5/2023,32.0,70,787,6.4,34
39,8/19/2023,30.8,61,447,6.8,17
18,8/13/2023,30.1,54,528,6.5,11
64,8/12/2023,24.2,65,535,6.5,10
4,8/6/2023,33.4,58,562,6.0,4
18,8/15/2023,30.1,52,723,6.1,13
39,8/30/2023,29.1,60,687,6.6,28
70,8/26/2023,19.7,67,757,6.2,24
16,9/1/2023,31.7,50,771,6.0,30
68,8/3/2023,19.7,56,716,6.5,1
39,8/22/2023,30.5,52,707,6.1,20
36,9/9/2023,20.1,75,693,6.7,38
27,9/6/2023,32.1,70,799,6.1,35
14,8/26/2023,31.4,58,637,6.2,24
9,9/11/2023,31.2,65,573,6.2,40
